It: 14300, Loss: 6.804e+01, l1: 0.894, l2: 0.01233, Time: 6.98
It: 14400, Loss: 6.797e+01, l1: 0.895, l2: 0.01230, Time: 7.04
It: 14500, Loss: 6.790e+01, l1: 0.895, l2: 0.01231, Time: 7.20
It: 14600, Loss: 6.785e+01, l1: 0.895, l2: 0.01242, Time: 7.30
It: 14700, Loss: 6.779e+01, l1: 0.895, l2: 0.01223, Time: 6.50
It: 14800, Loss: 6.774e+01, l1: 0.895, l2: 0.01235, Time: 8.34
It: 14900, Loss: 6.769e+01, l1: 0.895, l2: 0.01231, Time: 6.60
It: 15000, Loss: 6.764e+01, l1: 0.895, l2: 0.01229, Time: 6.12
It: 15100, Loss: 6.759e+01, l1: 0.895, l2: 0.01227, Time: 6.61
It: 15200, Loss: 6.755e+01, l1: 0.895, l2: 0.01229, Time: 6.36
It: 15300, Loss: 6.750e+01, l1: 0.895, l2: 0.01232, Time: 6.21
It: 15400, Loss: 6.746e+01, l1: 0.895, l2: 0.01229, Time: 7.05
It: 15500, Loss: 6.742e+01, l1: 0.895, l2: 0.01225, Time: 7.12
It: 15600, Loss: 6.738e+01, l1: 0.895, l2: 0.01235, Time: 7.07
It: 15700, Loss: 6.734e+01, l1: 0.896, l2: 0.01226, Time: 5.92
It: 15800, Loss: 6.730e+01, l1: 0.896, l2: 0.01237, Time: 6.26
It: 15900, Loss: 6.725e+01, l1: 0.896, l2: 0.01204, Time: 5.93
It: 16000, Loss: 6.721e+01, l1: 0.896, l2: 0.01231, Time: 6.28
It: 16100, Loss: 6.716e+01, l1: 0.896, l2: 0.01231, Time: 6.71
It: 16200, Loss: 6.711e+01, l1: 0.896, l2: 0.01226, Time: 7.81
It: 16300, Loss: 6.708e+01, l1: 0.897, l2: 0.01200, Time: 6.24
It: 16400, Loss: 6.702e+01, l1: 0.897, l2: 0.01210, Time: 6.60
It: 16500, Loss: 6.696e+01, l1: 0.897, l2: 0.01221, Time: 7.01
It: 16600, Loss: 6.691e+01, l1: 0.897, l2: 0.01230, Time: 6.39
It: 16700, Loss: 6.685e+01, l1: 0.898, l2: 0.01240, Time: 7.02
It: 16800, Loss: 6.679e+01, l1: 0.898, l2: 0.01253, Time: 6.67
It: 16900, Loss: 6.672e+01, l1: 0.898, l2: 0.01224, Time: 7.71
It: 17000, Loss: 6.665e+01, l1: 0.898, l2: 0.01213, Time: 6.77
It: 17100, Loss: 6.658e+01, l1: 0.899, l2: 0.01225, Time: 6.25
It: 17200, Loss: 6.651e+01, l1: 0.899, l2: 0.01218, Time: 6.42
It: 17300, Loss: 6.643e+01, l1: 0.899, l2: 0.01222, Time: 6.63
It: 17400, Loss: 6.635e+01, l1: 0.899, l2: 0.01230, Time: 5.75
It: 17500, Loss: 6.627e+01, l1: 0.900, l2: 0.01223, Time: 6.69
It: 17600, Loss: 6.620e+01, l1: 0.900, l2: 0.01203, Time: 6.61
It: 17700, Loss: 6.611e+01, l1: 0.900, l2: 0.01227, Time: 8.22
It: 17800, Loss: 6.602e+01, l1: 0.900, l2: 0.01224, Time: 6.97
It: 17900, Loss: 6.594e+01, l1: 0.901, l2: 0.01223, Time: 7.79
It: 18000, Loss: 6.588e+01, l1: 0.901, l2: 0.01200, Time: 7.99
It: 18100, Loss: 6.576e+01, l1: 0.901, l2: 0.01228, Time: 6.31
It: 18200, Loss: 6.566e+01, l1: 0.901, l2: 0.01226, Time: 6.92
It: 18300, Loss: 6.558e+01, l1: 0.901, l2: 0.01218, Time: 6.16
It: 18400, Loss: 6.548e+01, l1: 0.902, l2: 0.01221, Time: 6.81
It: 18500, Loss: 6.539e+01, l1: 0.902, l2: 0.01227, Time: 6.35
It: 18600, Loss: 6.529e+01, l1: 0.902, l2: 0.01219, Time: 7.00
It: 18700, Loss: 6.520e+01, l1: 0.902, l2: 0.01212, Time: 8.22
It: 18800, Loss: 6.510e+01, l1: 0.902, l2: 0.01215, Time: 6.44
It: 18900, Loss: 6.501e+01, l1: 0.903, l2: 0.01210, Time: 6.73
It: 19000, Loss: 6.492e+01, l1: 0.903, l2: 0.01211, Time: 6.37
It: 19100, Loss: 6.485e+01, l1: 0.903, l2: 0.01252, Time: 6.86
It: 19200, Loss: 6.475e+01, l1: 0.903, l2: 0.01184, Time: 6.38
It: 19300, Loss: 6.465e+01, l1: 0.903, l2: 0.01203, Time: 6.99
It: 19400, Loss: 6.460e+01, l1: 0.903, l2: 0.01185, Time: 6.34
It: 19500, Loss: 6.449e+01, l1: 0.903, l2: 0.01218, Time: 6.75
It: 19600, Loss: 6.441e+01, l1: 0.904, l2: 0.01196, Time: 6.36
It: 19700, Loss: 6.434e+01, l1: 0.904, l2: 0.01193, Time: 7.50
It: 19800, Loss: 6.429e+01, l1: 0.904, l2: 0.01176, Time: 7.56
It: 19900, Loss: 6.421e+01, l1: 0.904, l2: 0.01159, Time: 6.39
It: 20000, Loss: 6.414e+01, l1: 0.904, l2: 0.01195, Time: 6.79
It: 20100, Loss: 6.411e+01, l1: 0.904, l2: 0.01194, Time: 6.33
It: 20200, Loss: 6.408e+01, l1: 0.904, l2: 0.01194, Time: 6.93
It: 20300, Loss: 6.404e+01, l1: 0.904, l2: 0.01194, Time: 7.32
It: 20400, Loss: 6.401e+01, l1: 0.904, l2: 0.01194, Time: 6.32
It: 20500, Loss: 6.397e+01, l1: 0.904, l2: 0.01193, Time: 6.82
It: 20600, Loss: 6.394e+01, l1: 0.904, l2: 0.01193, Time: 6.45
It: 20700, Loss: 6.390e+01, l1: 0.904, l2: 0.01193, Time: 6.94
It: 20800, Loss: 6.386e+01, l1: 0.905, l2: 0.01193, Time: 6.88
It: 20900, Loss: 6.382e+01, l1: 0.905, l2: 0.01193, Time: 7.23
It: 21000, Loss: 6.378e+01, l1: 0.905, l2: 0.01193, Time: 6.06
It: 21100, Loss: 6.374e+01, l1: 0.905, l2: 0.01193, Time: 6.60
It: 21200, Loss: 6.370e+01, l1: 0.905, l2: 0.01193, Time: 6.02
It: 21300, Loss: 6.366e+01, l1: 0.905, l2: 0.01194, Time: 6.45
It: 21400, Loss: 6.362e+01, l1: 0.905, l2: 0.01193, Time: 7.18
It: 21500, Loss: 6.358e+01, l1: 0.905, l2: 0.01193, Time: 7.84
It: 21600, Loss: 6.354e+01, l1: 0.905, l2: 0.01191, Time: 5.97
It: 21700, Loss: 6.351e+01, l1: 0.905, l2: 0.01195, Time: 6.74
It: 21800, Loss: 6.347e+01, l1: 0.905, l2: 0.01190, Time: 6.48
It: 21900, Loss: 6.344e+01, l1: 0.905, l2: 0.01191, Time: 6.71
It: 22000, Loss: 6.341e+01, l1: 0.905, l2: 0.01195, Time: 6.54
It: 22100, Loss: 6.339e+01, l1: 0.906, l2: 0.01158, Time: 7.40
It: 22200, Loss: 6.335e+01, l1: 0.905, l2: 0.01194, Time: 7.95
It: 22300, Loss: 6.332e+01, l1: 0.905, l2: 0.01192, Time: 7.68
It: 22400, Loss: 6.329e+01, l1: 0.905, l2: 0.01191, Time: 5.87
It: 22500, Loss: 6.326e+01, l1: 0.906, l2: 0.01192, Time: 6.70
It: 22600, Loss: 6.324e+01, l1: 0.905, l2: 0.01204, Time: 5.88
It: 22700, Loss: 6.321e+01, l1: 0.906, l2: 0.01194, Time: 6.68
It: 22800, Loss: 6.318e+01, l1: 0.906, l2: 0.01196, Time: 6.52
It: 22900, Loss: 6.315e+01, l1: 0.906, l2: 0.01187, Time: 8.19
