It: 16800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.65
It: 16900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.61
It: 17000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.58
It: 17100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.61
It: 17200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.59
It: 17300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.60
It: 17400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.88
It: 17500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.87
It: 17600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.05
It: 17700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.96
It: 17800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.06
It: 17900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.68
It: 18000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.28
It: 18100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.63
It: 18200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.51
It: 18300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.21
It: 18400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.67
It: 18500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.60
It: 18600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.99
It: 18700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.03
It: 18800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.92
It: 18900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.33
It: 19000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.72
It: 19100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.65
It: 19200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.39
It: 19300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.40
It: 19400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.08
