torch.Size([1000000, 3]) torch.Size([1000000, 1]) torch.Size([1000000, 1])
It: 10700, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 41.10
It: 10800, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 41.69
It: 10900, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 41.32
It: 11000, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 40.97
It: 11100, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 41.95
It: 11200, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 42.31
It: 11300, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 42.14
It: 11400, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 41.97
It: 11500, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 42.16
It: 11600, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 42.20
It: 11700, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 42.19
It: 11800, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 42.05
It: 11900, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 42.09
It: 12000, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 41.59
It: 12100, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 41.32
It: 12200, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 42.39
It: 12300, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 42.46
It: 12400, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 42.19
It: 12500, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 41.44
It: 12600, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 41.56
It: 12700, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 41.87
It: 12800, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 41.75
It: 12900, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 41.92
It: 13000, Loss: 8.941e-01, lamd1: 0.175, lamd2: 0.08118, Time: 42.05
It: 13100, Loss: 8.930e-01, lamd1: 0.046, lamd2: -0.16286, Time: 41.98
It: 13200, Loss: 1.196e-01, lamd1: -0.005, lamd2: -0.00042, Time: 41.95
It: 13300, Loss: 1.105e-01, lamd1: 0.004, lamd2: -0.00083, Time: 42.00
It: 13400, Loss: 1.067e-01, lamd1: -0.013, lamd2: -0.00012, Time: 41.91
It: 13500, Loss: 1.041e-01, lamd1: 0.001, lamd2: 0.00026, Time: 42.13
It: 13600, Loss: 1.018e-01, lamd1: 0.007, lamd2: 0.00027, Time: 42.54
It: 13700, Loss: 1.002e-01, lamd1: 0.003, lamd2: 0.00020, Time: 42.41
It: 13800, Loss: 9.867e-02, lamd1: -0.004, lamd2: 0.00010, Time: 42.43
