torch.Size([1000000, 3])
Total samples in dataset: 1000000, collocation points: 999000, data poinst: 1000, test points: 1000
It: 11000, Loss: 6.804e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.85
It: 11100, Loss: 6.890e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.72
It: 11200, Loss: 6.962e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.88
It: 11300, Loss: 9.410e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.82
It: 11400, Loss: 9.578e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.86
It: 11500, Loss: 1.280e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.88
It: 11600, Loss: 8.729e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.75
It: 11700, Loss: 7.588e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.96
It: 11800, Loss: 8.982e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.86
It: 11900, Loss: 1.065e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.74
It: 12000, Loss: 7.571e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.80
It: 12100, Loss: 7.853e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.90
It: 12200, Loss: 8.172e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.01
It: 12300, Loss: 7.192e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.10
It: 12400, Loss: 9.469e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.00
It: 12500, Loss: 6.431e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.02
It: 12600, Loss: 1.603e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.04
It: 12700, Loss: 1.328e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.00
It: 12800, Loss: 8.796e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.08
It: 12900, Loss: 8.194e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.06
It: 13000, Loss: 1.809e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.12
It: 13100, Loss: 7.090e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.09
It: 13200, Loss: 8.859e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.05
It: 13300, Loss: 1.031e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.07
It: 13400, Loss: 6.199e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.05
It: 13500, Loss: 7.166e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.05
It: 13600, Loss: 1.013e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.97
It: 13700, Loss: 9.540e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.16
It: 13800, Loss: 7.312e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.00
It: 13900, Loss: 7.156e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.11
It: 14000, Loss: 6.239e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.10
It: 14100, Loss: 5.787e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.14
It: 14200, Loss: 6.934e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.90
It: 14300, Loss: 1.126e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.76
It: 14400, Loss: 9.817e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.81
