It: 18100, Loss: 1.111e-06, nu: 0.020, Time: 15.73
It: 18200, Loss: 1.111e-06, nu: 0.020, Time: 15.77
It: 18300, Loss: 1.121e-06, nu: 0.020, Time: 15.74
It: 18400, Loss: 1.126e-06, nu: 0.020, Time: 15.75
It: 18500, Loss: 1.130e-06, nu: 0.020, Time: 15.77
It: 18600, Loss: 1.115e-06, nu: 0.020, Time: 15.80
It: 18700, Loss: 1.125e-06, nu: 0.020, Time: 15.76
It: 18800, Loss: 1.109e-06, nu: 0.020, Time: 15.76
It: 18900, Loss: 1.128e-06, nu: 0.020, Time: 15.75
It: 19000, Loss: 1.109e-06, nu: 0.020, Time: 15.83
It: 19100, Loss: 1.112e-06, nu: 0.020, Time: 15.75
It: 19200, Loss: 1.107e-06, nu: 0.020, Time: 15.76
It: 19300, Loss: 1.118e-06, nu: 0.020, Time: 15.76
It: 19400, Loss: 1.118e-06, nu: 0.020, Time: 15.75
It: 19500, Loss: 1.112e-06, nu: 0.020, Time: 15.75
It: 19600, Loss: 1.112e-06, nu: 0.020, Time: 15.71
It: 19700, Loss: 1.119e-06, nu: 0.020, Time: 15.72
It: 19800, Loss: 1.113e-06, nu: 0.020, Time: 15.70
It: 19900, Loss: 1.117e-06, nu: 0.020, Time: 15.70
It: 20000, Loss: 1.116e-06, nu: 0.020, Time: 15.78
It: 20100, Loss: 1.120e-06, nu: 0.020, Time: 15.70
It: 20200, Loss: 1.112e-06, nu: 0.020, Time: 15.73
It: 20300, Loss: 1.115e-06, nu: 0.020, Time: 15.70
It: 20400, Loss: 1.114e-06, nu: 0.020, Time: 15.69
It: 20500, Loss: 1.123e-06, nu: 0.020, Time: 15.71
It: 20600, Loss: 1.116e-06, nu: 0.020, Time: 15.70
It: 20700, Loss: 1.126e-06, nu: 0.020, Time: 15.72
It: 20800, Loss: 1.107e-06, nu: 0.020, Time: 15.73
It: 20900, Loss: 1.118e-06, nu: 0.020, Time: 15.69
It: 21000, Loss: 1.111e-06, nu: 0.020, Time: 15.74
It: 21100, Loss: 1.114e-06, nu: 0.020, Time: 15.68
It: 21200, Loss: 1.108e-06, nu: 0.020, Time: 15.70
It: 21300, Loss: 1.107e-06, nu: 0.020, Time: 15.77
It: 21400, Loss: 1.125e-06, nu: 0.020, Time: 15.75
It: 21500, Loss: 1.114e-06, nu: 0.020, Time: 15.76
It: 21600, Loss: 1.113e-06, nu: 0.020, Time: 15.80
It: 21700, Loss: 1.110e-06, nu: 0.020, Time: 15.75
It: 21800, Loss: 1.117e-06, nu: 0.020, Time: 15.79
It: 21900, Loss: 1.113e-06, nu: 0.020, Time: 15.78
It: 22000, Loss: 1.113e-06, nu: 0.020, Time: 15.81
It: 22100, Loss: 1.112e-06, nu: 0.020, Time: 15.77
It: 22200, Loss: 1.117e-06, nu: 0.020, Time: 15.76
It: 22300, Loss: 1.108e-06, nu: 0.020, Time: 15.77
It: 22400, Loss: 1.118e-06, nu: 0.020, Time: 15.89
It: 22500, Loss: 1.108e-06, nu: 0.020, Time: 15.87
It: 22600, Loss: 1.110e-06, nu: 0.020, Time: 15.86
It: 22700, Loss: 1.120e-06, nu: 0.020, Time: 15.85
It: 22800, Loss: 1.114e-06, nu: 0.020, Time: 15.89
It: 22900, Loss: 1.115e-06, nu: 0.020, Time: 15.91
It: 23000, Loss: 1.108e-06, nu: 0.020, Time: 15.91
It: 23100, Loss: 1.107e-06, nu: 0.020, Time: 15.88
It: 23200, Loss: 1.118e-06, nu: 0.020, Time: 15.86
It: 23300, Loss: 1.116e-06, nu: 0.020, Time: 15.89
It: 23400, Loss: 1.114e-06, nu: 0.020, Time: 15.89
It: 23500, Loss: 1.119e-06, nu: 0.020, Time: 15.85
It: 23600, Loss: 1.124e-06, nu: 0.020, Time: 15.88
It: 23700, Loss: 1.109e-06, nu: 0.020, Time: 15.87
It: 23800, Loss: 1.115e-06, nu: 0.020, Time: 15.89
It: 23900, Loss: 1.117e-06, nu: 0.020, Time: 15.84
It: 24000, Loss: 1.113e-06, nu: 0.020, Time: 15.90
It: 24100, Loss: 1.112e-06, nu: 0.020, Time: 15.88
It: 24200, Loss: 1.116e-06, nu: 0.020, Time: 15.87
It: 24300, Loss: 1.107e-06, nu: 0.020, Time: 15.84
It: 24400, Loss: 1.115e-06, nu: 0.020, Time: 15.79
It: 24500, Loss: 1.116e-06, nu: 0.020, Time: 15.80
It: 24600, Loss: 1.123e-06, nu: 0.020, Time: 15.80
It: 24700, Loss: 1.110e-06, nu: 0.020, Time: 15.78
It: 24800, Loss: 1.116e-06, nu: 0.020, Time: 15.79
It: 24900, Loss: 1.109e-06, nu: 0.020, Time: 15.80
It: 25000, Loss: 1.108e-06, nu: 0.020, Time: 15.81
It: 25100, Loss: 1.117e-06, nu: 0.020, Time: 15.79
It: 25200, Loss: 1.106e-06, nu: 0.020, Time: 15.74
It: 25300, Loss: 1.118e-06, nu: 0.020, Time: 15.83
It: 25400, Loss: 1.122e-06, nu: 0.020, Time: 15.83
It: 25500, Loss: 1.115e-06, nu: 0.020, Time: 15.84
It: 25600, Loss: 1.111e-06, nu: 0.020, Time: 15.84
It: 25700, Loss: 1.123e-06, nu: 0.020, Time: 15.83
It: 25800, Loss: 1.121e-06, nu: 0.020, Time: 15.87
It: 25900, Loss: 1.116e-06, nu: 0.020, Time: 15.86
It: 26000, Loss: 1.116e-06, nu: 0.020, Time: 15.88
It: 26100, Loss: 1.111e-06, nu: 0.020, Time: 15.86
It: 26200, Loss: 1.121e-06, nu: 0.020, Time: 15.83
It: 26300, Loss: 1.115e-06, nu: 0.020, Time: 15.83
It: 26400, Loss: 1.111e-06, nu: 0.020, Time: 15.88
It: 26500, Loss: 1.108e-06, nu: 0.020, Time: 15.85
It: 26600, Loss: 1.109e-06, nu: 0.020, Time: 15.86
It: 26700, Loss: 1.113e-06, nu: 0.020, Time: 15.85
It: 26800, Loss: 1.126e-06, nu: 0.020, Time: 15.85
It: 26900, Loss: 1.111e-06, nu: 0.020, Time: 15.81
It: 27000, Loss: 1.113e-06, nu: 0.020, Time: 15.84
It: 27100, Loss: 1.115e-06, nu: 0.020, Time: 15.77
It: 27200, Loss: 1.118e-06, nu: 0.020, Time: 15.80
It: 27300, Loss: 1.121e-06, nu: 0.020, Time: 15.78
It: 27400, Loss: 1.114e-06, nu: 0.020, Time: 15.80
It: 27500, Loss: 1.120e-06, nu: 0.020, Time: 12.69
It: 27600, Loss: 1.116e-06, nu: 0.020, Time: 10.75
It: 27700, Loss: 1.122e-06, nu: 0.020, Time: 10.75
It: 27800, Loss: 1.110e-06, nu: 0.020, Time: 10.75
It: 27900, Loss: 1.110e-06, nu: 0.020, Time: 10.75
It: 28000, Loss: 1.117e-06, nu: 0.020, Time: 10.78
It: 28100, Loss: 1.111e-06, nu: 0.020, Time: 10.76
It: 28200, Loss: 1.109e-06, nu: 0.020, Time: 10.77
It: 28300, Loss: 1.124e-06, nu: 0.020, Time: 10.82
It: 28400, Loss: 1.117e-06, nu: 0.020, Time: 10.81
It: 28500, Loss: 1.112e-06, nu: 0.020, Time: 10.78
It: 28600, Loss: 1.118e-06, nu: 0.020, Time: 10.76
It: 28700, Loss: 1.106e-06, nu: 0.020, Time: 10.81
It: 28800, Loss: 1.118e-06, nu: 0.020, Time: 10.72
It: 28900, Loss: 1.114e-06, nu: 0.020, Time: 10.71
It: 29000, Loss: 1.117e-06, nu: 0.020, Time: 10.75
