It: 14100, Loss: 1.286e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 14200, Loss: 4.656e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 14300, Loss: 8.892e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.50
It: 14400, Loss: 7.202e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 14500, Loss: 3.339e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.63
It: 14600, Loss: 4.311e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.74
It: 14700, Loss: 4.787e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.82
It: 14800, Loss: 3.115e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.75
It: 14900, Loss: 1.100e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.74
It: 15000, Loss: 1.268e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.75
It: 15100, Loss: 5.688e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.75
It: 15200, Loss: 4.879e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.73
It: 15300, Loss: 9.246e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.76
It: 15400, Loss: 3.202e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.90
It: 15500, Loss: 3.997e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.82
It: 15600, Loss: 5.767e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.69
It: 15700, Loss: 3.405e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 15800, Loss: 4.184e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 15900, Loss: 6.748e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.50
It: 16000, Loss: 6.598e-04, lamd1: 1.000, lamd2: 0.01000, Time: 6.56
It: 16100, Loss: 3.283e-04, lamd1: 1.000, lamd2: 0.01000, Time: 6.90
It: 16200, Loss: 1.183e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.52
It: 16300, Loss: 7.233e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 16400, Loss: 4.822e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.50
It: 16500, Loss: 3.056e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 16600, Loss: 4.251e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.48
It: 16700, Loss: 3.012e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.49
It: 16800, Loss: 1.562e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.45
It: 16900, Loss: 3.762e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.42
It: 17000, Loss: 3.456e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 17100, Loss: 4.435e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 17200, Loss: 4.510e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.42
It: 17300, Loss: 3.898e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.48
It: 17400, Loss: 6.629e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.51
It: 17500, Loss: 3.525e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 17600, Loss: 4.435e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.45
It: 17700, Loss: 4.581e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.51
It: 17800, Loss: 9.652e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.60
It: 17900, Loss: 4.785e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.72
It: 18000, Loss: 8.203e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.60
It: 18100, Loss: 4.023e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 18200, Loss: 4.843e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 18300, Loss: 3.260e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 18400, Loss: 5.958e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.48
It: 18500, Loss: 2.875e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.49
It: 18600, Loss: 3.021e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 18700, Loss: 3.339e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 18800, Loss: 2.629e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 18900, Loss: 4.543e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 19000, Loss: 2.273e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.52
It: 19100, Loss: 6.487e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 19200, Loss: 3.722e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 19300, Loss: 6.177e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 19400, Loss: 1.118e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 19500, Loss: 3.040e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.52
It: 19600, Loss: 4.120e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 19700, Loss: 4.238e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 19800, Loss: 3.457e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.49
It: 19900, Loss: 2.618e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.58
It: 20000, Loss: 5.620e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 20100, Loss: 2.016e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 20200, Loss: 2.003e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.58
It: 20300, Loss: 1.990e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 20400, Loss: 1.978e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 20500, Loss: 1.967e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 20600, Loss: 1.955e-04, lamd1: 1.000, lamd2: 0.01000, Time: 6.40
It: 20700, Loss: 1.943e-04, lamd1: 1.000, lamd2: 0.01000, Time: 6.35
It: 20800, Loss: 1.931e-04, lamd1: 1.000, lamd2: 0.01000, Time: 6.30
It: 20900, Loss: 1.919e-04, lamd1: 1.000, lamd2: 0.01000, Time: 6.28
It: 21000, Loss: 1.907e-04, lamd1: 1.000, lamd2: 0.01000, Time: 6.28
It: 21100, Loss: 1.895e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.02
It: 21200, Loss: 1.882e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.46
It: 21300, Loss: 1.870e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.51
It: 21400, Loss: 1.941e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 21500, Loss: 2.620e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.51
It: 21600, Loss: 3.797e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 21700, Loss: 3.005e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 21800, Loss: 1.901e-04, lamd1: 1.000, lamd2: 0.01000, Time: 6.71
It: 21900, Loss: 3.630e-04, lamd1: 1.000, lamd2: 0.01000, Time: 6.27
It: 22000, Loss: 3.001e-04, lamd1: 1.000, lamd2: 0.01000, Time: 6.29
It: 22100, Loss: 2.105e-04, lamd1: 1.000, lamd2: 0.01000, Time: 6.25
It: 22200, Loss: 2.249e-04, lamd1: 1.000, lamd2: 0.01000, Time: 6.31
It: 22300, Loss: 2.011e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.49
It: 22400, Loss: 2.043e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 22500, Loss: 4.118e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.58
It: 22600, Loss: 1.969e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 22700, Loss: 2.021e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.51
