It: 11800, Loss: 7.909e+01, l1: 0.885, l2: 0.01208, Time: 4.05
It: 11900, Loss: 7.891e+01, l1: 0.886, l2: 0.01190, Time: 4.76
It: 12000, Loss: 7.875e+01, l1: 0.886, l2: 0.01197, Time: 4.19
It: 12100, Loss: 7.859e+01, l1: 0.886, l2: 0.01195, Time: 4.00
It: 12200, Loss: 7.843e+01, l1: 0.886, l2: 0.01199, Time: 4.55
It: 12300, Loss: 7.827e+01, l1: 0.887, l2: 0.01202, Time: 4.32
It: 12400, Loss: 7.811e+01, l1: 0.887, l2: 0.01207, Time: 3.35
It: 12500, Loss: 7.794e+01, l1: 0.888, l2: 0.01201, Time: 4.33
It: 12600, Loss: 7.777e+01, l1: 0.888, l2: 0.01205, Time: 4.13
It: 12700, Loss: 7.759e+01, l1: 0.888, l2: 0.01203, Time: 4.65
It: 12800, Loss: 7.741e+01, l1: 0.889, l2: 0.01205, Time: 4.44
It: 12900, Loss: 7.722e+01, l1: 0.889, l2: 0.01204, Time: 3.89
It: 13000, Loss: 7.704e+01, l1: 0.889, l2: 0.01204, Time: 4.44
It: 13100, Loss: 7.684e+01, l1: 0.890, l2: 0.01213, Time: 4.80
It: 13200, Loss: 7.665e+01, l1: 0.890, l2: 0.01213, Time: 3.71
It: 13300, Loss: 7.646e+01, l1: 0.890, l2: 0.01230, Time: 4.34
It: 13400, Loss: 7.624e+01, l1: 0.891, l2: 0.01223, Time: 4.37
It: 13500, Loss: 7.602e+01, l1: 0.891, l2: 0.01233, Time: 4.88
It: 13600, Loss: 7.578e+01, l1: 0.891, l2: 0.01228, Time: 4.79
It: 13700, Loss: 7.553e+01, l1: 0.892, l2: 0.01245, Time: 4.29
It: 13800, Loss: 7.526e+01, l1: 0.892, l2: 0.01257, Time: 4.91
It: 13900, Loss: 7.498e+01, l1: 0.893, l2: 0.01227, Time: 4.42
It: 14000, Loss: 7.470e+01, l1: 0.892, l2: 0.01261, Time: 4.08
It: 14100, Loss: 7.443e+01, l1: 0.892, l2: 0.01276, Time: 4.81
It: 14200, Loss: 7.415e+01, l1: 0.893, l2: 0.01287, Time: 4.38
It: 14300, Loss: 7.389e+01, l1: 0.893, l2: 0.01262, Time: 4.65
It: 14400, Loss: 7.361e+01, l1: 0.893, l2: 0.01276, Time: 4.34
It: 14500, Loss: 7.337e+01, l1: 0.893, l2: 0.01277, Time: 4.26
It: 14600, Loss: 7.321e+01, l1: 0.893, l2: 0.01308, Time: 4.11
It: 14700, Loss: 7.294e+01, l1: 0.894, l2: 0.01282, Time: 4.75
It: 14800, Loss: 7.274e+01, l1: 0.894, l2: 0.01285, Time: 4.63
It: 14900, Loss: 7.256e+01, l1: 0.894, l2: 0.01288, Time: 4.08
It: 15000, Loss: 7.239e+01, l1: 0.894, l2: 0.01286, Time: 4.48
It: 15100, Loss: 7.223e+01, l1: 0.895, l2: 0.01276, Time: 4.43
It: 15200, Loss: 7.208e+01, l1: 0.895, l2: 0.01299, Time: 4.15
It: 15300, Loss: 7.193e+01, l1: 0.895, l2: 0.01293, Time: 4.47
It: 15400, Loss: 7.181e+01, l1: 0.895, l2: 0.01278, Time: 4.14
It: 15500, Loss: 7.163e+01, l1: 0.895, l2: 0.01302, Time: 4.85
It: 15600, Loss: 7.147e+01, l1: 0.895, l2: 0.01317, Time: 4.51
It: 15700, Loss: 7.131e+01, l1: 0.895, l2: 0.01307, Time: 4.33
It: 15800, Loss: 7.118e+01, l1: 0.896, l2: 0.01295, Time: 4.61
It: 15900, Loss: 7.105e+01, l1: 0.896, l2: 0.01292, Time: 4.05
It: 16000, Loss: 7.094e+01, l1: 0.896, l2: 0.01290, Time: 4.81
It: 16100, Loss: 7.083e+01, l1: 0.896, l2: 0.01301, Time: 4.54
It: 16200, Loss: 7.072e+01, l1: 0.896, l2: 0.01290, Time: 4.55
It: 16300, Loss: 7.061e+01, l1: 0.896, l2: 0.01286, Time: 4.50
It: 16400, Loss: 7.051e+01, l1: 0.896, l2: 0.01280, Time: 4.18
It: 16500, Loss: 7.040e+01, l1: 0.896, l2: 0.01286, Time: 3.90
It: 16600, Loss: 7.033e+01, l1: 0.896, l2: 0.01302, Time: 4.09
It: 16700, Loss: 7.019e+01, l1: 0.896, l2: 0.01280, Time: 5.34
It: 16800, Loss: 7.008e+01, l1: 0.896, l2: 0.01282, Time: 4.41
It: 16900, Loss: 6.996e+01, l1: 0.896, l2: 0.01272, Time: 4.43
It: 17000, Loss: 6.985e+01, l1: 0.896, l2: 0.01275, Time: 4.53
It: 17100, Loss: 6.973e+01, l1: 0.896, l2: 0.01276, Time: 5.09
It: 17200, Loss: 6.961e+01, l1: 0.897, l2: 0.01265, Time: 4.70
It: 17300, Loss: 6.950e+01, l1: 0.897, l2: 0.01267, Time: 4.56
It: 17400, Loss: 6.938e+01, l1: 0.897, l2: 0.01265, Time: 4.64
It: 17500, Loss: 6.927e+01, l1: 0.897, l2: 0.01262, Time: 4.63
It: 17600, Loss: 6.916e+01, l1: 0.897, l2: 0.01266, Time: 4.48
It: 17700, Loss: 6.908e+01, l1: 0.897, l2: 0.01288, Time: 4.30
It: 17800, Loss: 6.895e+01, l1: 0.897, l2: 0.01269, Time: 3.96
It: 17900, Loss: 6.884e+01, l1: 0.897, l2: 0.01272, Time: 4.55
It: 18000, Loss: 6.873e+01, l1: 0.897, l2: 0.01268, Time: 4.56
It: 18100, Loss: 6.867e+01, l1: 0.898, l2: 0.01235, Time: 4.52
It: 18200, Loss: 6.851e+01, l1: 0.898, l2: 0.01275, Time: 4.41
It: 18300, Loss: 6.842e+01, l1: 0.898, l2: 0.01275, Time: 4.55
It: 18400, Loss: 6.841e+01, l1: 0.897, l2: 0.01308, Time: 4.51
It: 18500, Loss: 6.819e+01, l1: 0.898, l2: 0.01274, Time: 4.60
It: 18600, Loss: 6.809e+01, l1: 0.898, l2: 0.01274, Time: 4.45
It: 18700, Loss: 6.798e+01, l1: 0.898, l2: 0.01271, Time: 5.25
It: 18800, Loss: 6.788e+01, l1: 0.898, l2: 0.01284, Time: 4.58
It: 18900, Loss: 6.779e+01, l1: 0.899, l2: 0.01288, Time: 4.61
It: 19000, Loss: 6.767e+01, l1: 0.899, l2: 0.01278, Time: 4.12
It: 19100, Loss: 6.757e+01, l1: 0.899, l2: 0.01280, Time: 4.42
It: 19200, Loss: 6.753e+01, l1: 0.899, l2: 0.01309, Time: 4.50
It: 19300, Loss: 6.737e+01, l1: 0.899, l2: 0.01287, Time: 4.84
It: 19400, Loss: 6.728e+01, l1: 0.899, l2: 0.01289, Time: 4.10
It: 19500, Loss: 6.718e+01, l1: 0.899, l2: 0.01298, Time: 4.26
It: 19600, Loss: 6.709e+01, l1: 0.899, l2: 0.01289, Time: 4.79
It: 19700, Loss: 6.700e+01, l1: 0.899, l2: 0.01290, Time: 4.47
It: 19800, Loss: 6.690e+01, l1: 0.899, l2: 0.01296, Time: 4.03
It: 19900, Loss: 6.681e+01, l1: 0.900, l2: 0.01294, Time: 4.43
It: 20000, Loss: 6.673e+01, l1: 0.900, l2: 0.01298, Time: 4.53
It: 20100, Loss: 6.668e+01, l1: 0.900, l2: 0.01299, Time: 4.12
It: 20200, Loss: 6.663e+01, l1: 0.900, l2: 0.01299, Time: 4.25
It: 20300, Loss: 6.658e+01, l1: 0.900, l2: 0.01300, Time: 4.32
It: 20400, Loss: 6.653e+01, l1: 0.900, l2: 0.01301, Time: 4.79
It: 20500, Loss: 6.648e+01, l1: 0.900, l2: 0.01302, Time: 4.59
It: 20600, Loss: 6.643e+01, l1: 0.900, l2: 0.01303, Time: 4.03
It: 20700, Loss: 6.637e+01, l1: 0.900, l2: 0.01304, Time: 4.36
It: 20800, Loss: 6.631e+01, l1: 0.900, l2: 0.01305, Time: 4.29
It: 20900, Loss: 6.625e+01, l1: 0.900, l2: 0.01306, Time: 3.96
It: 21000, Loss: 6.619e+01, l1: 0.900, l2: 0.01307, Time: 4.30
It: 21100, Loss: 6.613e+01, l1: 0.900, l2: 0.01308, Time: 4.13
It: 21200, Loss: 6.607e+01, l1: 0.900, l2: 0.01309, Time: 3.94
It: 21300, Loss: 6.600e+01, l1: 0.900, l2: 0.01310, Time: 4.62
It: 21400, Loss: 6.594e+01, l1: 0.900, l2: 0.01311, Time: 4.39
It: 21500, Loss: 6.587e+01, l1: 0.900, l2: 0.01307, Time: 4.52
It: 21600, Loss: 6.581e+01, l1: 0.900, l2: 0.01313, Time: 4.93
It: 21700, Loss: 6.576e+01, l1: 0.900, l2: 0.01321, Time: 4.26
It: 21800, Loss: 6.570e+01, l1: 0.900, l2: 0.01316, Time: 5.24
It: 21900, Loss: 6.564e+01, l1: 0.900, l2: 0.01314, Time: 4.68
It: 22000, Loss: 6.559e+01, l1: 0.900, l2: 0.01317, Time: 4.33
It: 22100, Loss: 6.553e+01, l1: 0.900, l2: 0.01317, Time: 5.00
It: 22200, Loss: 6.548e+01, l1: 0.900, l2: 0.01318, Time: 4.71
It: 22300, Loss: 6.543e+01, l1: 0.900, l2: 0.01316, Time: 4.69
